#wave	flux	unc
4389.115	0.183	0.081
4389.934	0.168	0.08
4390.753	0.117	0.079
4391.572	0.076	0.078
4392.391	0.081	0.079
4393.21	0.109	0.079
4394.029	0.144	0.081
4394.848	0.151	0.083
4395.667	0.139	0.082
4396.486	0.155	0.082
4397.305	0.2	0.082
4398.124	0.195	0.083
4398.943	0.125	0.082
4399.762	0.076	0.081
4400.581	0.121	0.082
4401.4	0.179	0.083
4402.219	0.183	0.083
4403.038	0.154	0.082
4403.857	0.152	0.083
4404.676	0.121	0.081
4405.495	0.082	0.078
4406.314	0.089	0.078
4407.133	0.117	0.079
4407.952	0.101	0.08
4408.771	0.102	0.081
4409.59	0.165	0.082
4410.409	0.209	0.083
4411.228	0.211	0.084
4412.047	0.201	0.085
4412.866	0.186	0.085
4413.685	0.143	0.084
4414.504	0.107	0.083
4415.323	0.132	0.084
4416.142	0.179	0.084
4416.961	0.156	0.082
4417.78	0.133	0.081
4418.599	0.127	0.082
4419.418	0.128	0.082
4420.237	0.134	0.084
4421.056	0.124	0.085
4421.875	0.079	0.083
4422.694	0.105	0.083
4423.513	0.235	0.085
4424.332	0.221	0.084
4425.151	0.167	0.083
4425.97	0.115	0.082
4426.789	0.069	0.08
4427.608	0.134	0.081
4428.427	0.162	0.081
4429.246	0.146	0.082
4430.065	0.157	0.083
4430.884	0.171	0.083
4431.703	0.156	0.082
4432.522	0.183	0.082
4433.341	0.245	0.083
4434.16	0.215	0.083
4434.979	0.169	0.08
4435.798	0.127	0.077
4436.617	0.125	0.078
4437.436	0.198	0.078
4438.255	0.202	0.077
4439.074	0.196	0.078
4439.893	0.202	0.081
4440.712	0.161	0.08
4441.531	0.146	0.08
4442.35	0.161	0.08
4443.169	0.181	0.08
4443.988	0.193	0.079
4444.807	0.19	0.079
4445.626	0.179	0.079
4446.445	0.189	0.079
4447.264	0.22	0.08
4448.083	0.221	0.08
4448.902	0.24	0.082
4449.721	0.262	0.083
4450.54	0.245	0.081
4451.359	0.222	0.081
4452.178	0.224	0.081
4452.997	0.23	0.081
4453.816	0.203	0.08
4454.635	0.152	0.078
4455.454	0.182	0.077
4456.273	0.177	0.075
4457.092	0.103	0.073
4457.911	0.119	0.074
4458.73	0.16	0.075
4459.549	0.173	0.075
4460.368	0.159	0.075
4461.187	0.15	0.074
4462.006	0.181	0.075
4462.825	0.191	0.075
4463.644	0.201	0.075
4464.463	0.266	0.077
4465.282	0.267	0.078
4466.101	0.196	0.076
4466.92	0.147	0.075
4467.739	0.188	0.076
4468.558	0.255	0.077
4469.377	0.302	0.081
4470.196	0.277	0.085
4471.015	0.225	0.095
4471.834	0.295	0.125
4472.653	0.307	0.14
4473.472	0.235	0.114
4474.291	0.204	0.073
4475.11	0.254	0.077
4475.929	0.239	0.082
4476.748	0.227	0.079
4477.567	0.271	0.08
4478.386	0.257	0.079
4479.205	0.249	0.079
4480.024	0.252	0.079
4480.843	0.243	0.079
4481.662	0.234	0.078
4482.481	0.242	0.077
4483.3	0.248	0.076
4484.119	0.249	0.077
4484.938	0.254	0.077
4485.757	0.227	0.077
4486.576	0.25	0.078
4487.395	0.303	0.08
4488.214	0.302	0.08
4489.033	0.305	0.081
4489.852	0.316	0.08
4490.671	0.298	0.078
4491.49	0.253	0.076
4492.309	0.261	0.078
4493.128	0.291	0.079
4493.947	0.294	0.078
4494.766	0.272	0.078
4495.585	0.271	0.078
4496.404	0.267	0.077
4497.223	0.259	0.076
4498.042	0.262	0.076
4498.861	0.281	0.076
4499.68	0.323	0.078
4500.499	0.342	0.078
4501.318	0.318	0.077
4502.137	0.285	0.076
4502.956	0.252	0.075
4503.775	0.264	0.076
4504.594	0.305	0.078
4505.413	0.308	0.078
4506.232	0.294	0.077
4507.051	0.316	0.077
4507.87	0.344	0.078
4508.689	0.308	0.077
4509.508	0.254	0.076
4510.327	0.263	0.075
4511.146	0.279	0.074
4511.965	0.236	0.073
4512.784	0.257	0.074
4513.603	0.262	0.074
4514.422	0.248	0.074
4515.241	0.266	0.074
4516.06	0.268	0.073
4516.879	0.255	0.072
4517.698	0.228	0.071
4518.517	0.211	0.069
4519.336	0.244	0.07
4520.155	0.239	0.07
4520.974	0.218	0.07
4521.793	0.243	0.07
4522.612	0.29	0.071
4523.431	0.279	0.071
4524.25	0.256	0.07
4525.069	0.256	0.07
4525.888	0.257	0.07
4526.707	0.32	0.071
4527.526	0.318	0.071
4528.345	0.235	0.068
4529.164	0.205	0.066
4529.983	0.214	0.066
4530.802	0.297	0.068
4531.621	0.343	0.07
4532.44	0.247	0.068
4533.259	0.212	0.068
4534.078	0.227	0.068
4534.897	0.221	0.066
4535.716	0.188	0.065
4536.535	0.188	0.064
4537.354	0.19	0.064
4538.173	0.209	0.065
4538.992	0.232	0.067
4539.811	0.17	0.065
4540.63	0.211	0.066
4541.449	0.278	0.069
4542.268	0.265	0.069
4543.087	0.282	0.069
4543.906	0.264	0.069
4544.725	0.259	0.069
4545.544	0.295	0.07
4546.363	0.296	0.069
4547.182	0.3	0.069
4548.001	0.326	0.069
4548.82	0.308	0.068
4549.639	0.218	0.067
4550.458	0.262	0.069
4551.277	0.304	0.069
4552.096	0.267	0.068
4552.915	0.24	0.068
4553.734	0.198	0.068
4554.553	0.208	0.067
4555.372	0.239	0.067
4556.191	0.234	0.068
4557.01	0.277	0.07
4557.829	0.312	0.071
4558.648	0.303	0.072
4559.467	0.294	0.072
4560.286	0.338	0.073
4561.105	0.371	0.074
4561.924	0.362	0.074
4562.743	0.341	0.074
4563.562	0.345	0.074
4564.381	0.381	0.075
4565.2	0.382	0.075
4566.019	0.342	0.074
4566.838	0.36	0.075
4567.657	0.427	0.076
4568.476	0.442	0.076
4569.295	0.407	0.076
4570.114	0.432	0.076
4570.933	0.443	0.077
4571.752	0.381	0.075
4572.571	0.316	0.074
4573.39	0.343	0.074
4574.209	0.351	0.074
4575.028	0.368	0.074
4575.847	0.412	0.075
4576.666	0.437	0.076
4577.485	0.399	0.076
4578.304	0.326	0.074
4579.123	0.296	0.073
4579.942	0.329	0.073
4580.761	0.326	0.073
4581.58	0.308	0.072
4582.399	0.332	0.072
4583.218	0.382	0.073
4584.037	0.373	0.073
4584.856	0.36	0.073
4585.675	0.359	0.073
4586.494	0.354	0.072
4587.313	0.342	0.072
4588.132	0.327	0.071
4588.951	0.351	0.071
4589.77	0.382	0.073
4590.589	0.341	0.073
4591.408	0.35	0.074
4592.227	0.412	0.075
4593.046	0.439	0.074
4593.865	0.39	0.073
4594.684	0.385	0.073
4595.503	0.366	0.073
4596.322	0.337	0.072
4597.141	0.385	0.073
4597.96	0.466	0.074
4598.779	0.488	0.075
4599.598	0.462	0.075
4600.417	0.461	0.075
4601.236	0.471	0.075
4602.055	0.42	0.074
4602.874	0.355	0.073
4603.693	0.367	0.071
4604.512	0.423	0.073
4605.331	0.457	0.075
4606.15	0.454	0.075
4606.969	0.397	0.072
4607.788	0.278	0.068
4608.607	0.273	0.067
4609.426	0.318	0.069
4610.245	0.317	0.071
4611.064	0.34	0.073
4611.883	0.384	0.074
4612.702	0.405	0.074
4613.521	0.411	0.073
4614.34	0.45	0.075
4615.159	0.475	0.075
4615.978	0.47	0.074
4616.797	0.465	0.075
4617.616	0.479	0.076
4618.435	0.454	0.074
4619.254	0.423	0.073
4620.073	0.463	0.074
4620.892	0.553	0.077
4621.711	0.516	0.076
4622.53	0.485	0.075
4623.349	0.478	0.075
4624.168	0.427	0.073
4624.987	0.434	0.074
4625.806	0.457	0.075
4626.625	0.432	0.073
4627.444	0.366	0.071
4628.263	0.33	0.07
4629.082	0.323	0.07
4629.901	0.348	0.071
4630.72	0.39	0.072
4631.539	0.399	0.072
4632.358	0.39	0.072
4633.177	0.364	0.071
4633.996	0.334	0.07
4634.815	0.331	0.07
4635.634	0.325	0.07
4636.453	0.336	0.07
4637.272	0.377	0.071
4638.091	0.414	0.071
4638.91	0.411	0.071
4639.729	0.412	0.071
4640.548	0.43	0.071
4641.367	0.432	0.071
4642.186	0.43	0.071
4643.005	0.428	0.071
4643.824	0.432	0.072
4644.643	0.437	0.072
4645.462	0.429	0.071
4646.281	0.409	0.071
4647.1	0.389	0.069
4647.919	0.387	0.067
4648.738	0.414	0.068
4649.557	0.417	0.069
4650.376	0.398	0.069
4651.195	0.379	0.069
4652.014	0.35	0.068
4652.833	0.36	0.069
4653.652	0.408	0.07
4654.471	0.447	0.072
4655.29	0.438	0.072
4656.109	0.402	0.07
4656.928	0.391	0.069
4657.747	0.42	0.07
4658.566	0.444	0.071
4659.385	0.451	0.071
4660.204	0.46	0.072
